id,label
1,United_States
2,cases
3,covid-19
4,masks
5,outbreak
6,medical
7,world
8,disease
9,Vietnam
10,measures
11,citizens
12,control
13,prevention
14,epidemic
15,information
16,provinces
17,government
18,contact_tracing
19,healthcare_workers
20,hot_spots
21,local
22,tests
23,committee
24,steering
25,transmission
26,virus
27,centers
28,situation
29,patients
30,clusters
31,infection
32,countries
33,Hanoi
34,SARS-CoV-2
35,community
36,hospitals
37,health
38,negative
39,result
40,city
41,discharge
42,immigration
43,treatment
44,commune
45,isolation
46,quarantine
47,entry
48,Da_Nang
49,Quang_Nam
50,Hai_Duong
